Number of Tasks,Algorithm,Mean Response Time,Response Time Std. Dev.,Mean Weighted Load per Server,Weighted Load per Server Std. Dev.
1000,robin,867.143,959.310,1126.547,838.971
1000,state,3819.597,2687.660,531.147,2.186
1250,robin,5350.898,3517.350,1375.847,1008.399
1250,state,7576.217,5095.648,666.860,1.248
1500,robin,8886.493,5837.913,1621.893,1210.397
1500,state,11159.861,7394.890,772.353,3.327
1750,robin,12459.266,8136.155,1976.420,1494.850
1750,state,14650.765,9476.465,935.353,7.541
2000,robin,16481.844,10687.548,2208.367,1667.412
2000,state,17925.856,11414.255,1037.160,5.101
2250,robin,20071.481,13083.700,2482.093,1873.982
2250,state,20695.807,13234.198,1170.760,2.702
2500,robin,23653.912,15327.510,2749.647,2048.308
2500,state,23098.105,14677.896,1303.993,1.515
2750,robin,27303.664,17788.251,2997.980,2196.728
2750,state,26287.747,16619.371,1449.507,6.055
3000,robin,31026.510,19968.698,3268.220,2424.569
3000,state,29883.386,18827.527,1566.067,5.492
3250,robin,34133.410,21815.662,3607.707,2728.666
3250,state,33262.099,20923.947,1693.460,3.326
3500,robin,35974.609,23452.617,3930.480,2969.655
3500,state,36685.798,22772.162,1845.627,2.711
3750,robin,41939.166,26909.258,4145.213,3099.798
3750,state,37635.015,23664.945,1963.260,3.855
