Number of Tasks,Algorithm,Mean Response Time,Response Time Std. Dev.,Mean Weighted Load per Server,Weighted Load per Server Std. Dev.
1000,robin,108.784,127.691,210.667,157.401
1000,state,84.540,184.546,100.000,0.000
1250,robin,1862.705,2184.782,263.333,196.751
1250,state,189.012,344.196,125.427,0.529
1500,robin,2678.855,3178.284,316.000,236.102
1500,state,233.344,448.316,150.000,0.000
1750,robin,3334.454,3942.880,368.667,275.452
1750,state,304.614,583.092,175.427,0.529
2000,robin,4065.160,4759.044,421.333,314.802
2000,state,266.208,649.652,200.000,0.000
2250,robin,4704.980,5484.927,474.000,354.153
2250,state,807.499,835.577,225.427,0.529
2500,robin,5299.022,6114.819,526.667,393.503
2500,state,428.449,848.306,250.000,0.000
2750,robin,6039.750,7002.450,579.333,432.853
2750,state,718.211,976.378,275.427,0.529
3000,robin,6398.062,7561.877,632.000,472.203
3000,state,494.945,1013.817,300.000,0.000
3250,robin,7016.431,8217.318,684.667,511.554
3250,state,461.298,1134.363,325.427,0.529
3500,robin,7495.091,8900.546,737.333,550.904
3500,state,601.931,1222.873,350.000,0.000
3750,robin,8407.300,9689.945,790.000,590.254
3750,state,623.706,1289.067,375.427,0.529
